date,Blue,Green,Red
0,1.70853014,1.969317302,2.483483661
25,1.1587894,1.410003984,1.872147666
50,1.00648534,1.261961542,1.708583592
75,0.852415314,1.094277211,1.530597068
100,0.765613753,1.00518549,1.438792688
125,0.687872204,0.918466841,1.340369681
150,0.650863208,0.881529964,1.301491235
175,0.613267833,0.843080987,1.265014611
200,0.566775306,0.793230117,1.216403831
225,0.494626645,0.718791573,1.142676653
250,0.454024196,0.676612216,1.099621548
275,0.440210252,0.659496152,1.08398601
300,0.38744836,0.606501964,1.031389781
325,0.388842432,0.601026083,1.029081328
350,0.355225803,0.565438087,0.990202832
375,0.325166545,0.533131397,0.956418517
400,0.284322841,0.488026116,0.914072358
425,0.269976464,0.472347132,0.901415366
450,0.256413736,0.461925519,0.882272353
475,0.225605737,0.405395071,0.829719809
500,0.2075855,0.393869491,0.817419894
